episode,score,accumulated_reward
1,37,216.68908858552734
2,42,276.9072338972889
1,39,238.65481833489034
2,17,104.63454875541404
3,33,223.43626815423025
4,13,59.825992415436644
5,25,130.37369667149548
6,37,220.61184664372433
7,24,127.57329658867377
8,27,153.25888025329635
9,64,426.1250992310473
10,12,74.38304526890332
11,42,280.78672594628216
12,49,297.44244457032
13,7,27.13160374421806
14,54,332.24575456076684
15,26,121.30377952124749
16,54,350.0389896039528
17,77,542.6728148859295
18,44,262.4386554213636
19,46,305.01239200507507
20,26,93.08241911210933
21,23,136.01631417744673
22,26,172.21961419612788
23,22,99.25167339124944
24,19,142.89966261598417
25,76,461.50006114149465
26,18,128.8007992599646
27,51,375.18757237809234
28,34,191.7021944491095
29,65,431.36312660210564
30,11,74.87649144261613
31,33,226.3150081224439
32,42,305.6537193983367
33,42,286.7567795312486
34,44,300.55458314838387
35,21,127.56376312801686
36,54,370.71565089876924
37,20,141.71238243213762
38,16,98.34140948095967
39,30,231.0077054072345
40,44,309.66993813999926
41,30,182.05664481618638
42,19,70.57336826536874
43,14,57.97775817675071
44,30,105.28380412933465
45,35,246.57081075977914
46,51,305.8289937531677
47,22,144.84811357784668
48,19,127.20511184724415
49,14,96.54369887627325
50,58,393.9450007065565
51,51,333.0603040252463
52,24,146.32554672667922
53,51,331.6510434159772
54,34,219.60453832129448
55,55,364.78589090942626
56,21,107.1383595686898
57,25,141.6109153367475
58,54,379.0939565507754
59,32,235.66250534818082
60,38,223.07941773248632
61,27,131.29619294563375
62,44,286.80605720209917
63,24,133.33965917665574
64,51,370.98875799706246
65,48,327.8152528040472
66,61,439.3506374860726
67,29,206.8733852631447
68,34,239.21747192929038
69,21,149.44874846861092
70,21,129.58471247237264
71,51,356.47885432005563
72,71,480.205995480269
73,62,376.0521155350642
74,32,223.86635635763218
75,56,344.3840867595311
76,46,329.8228658701272
77,58,376.73973532200574
78,52,299.9183979582185
79,49,311.1095444589313
80,58,383.90846651225655
81,50,328.1491599893748
82,54,333.7494942508423
83,29,199.09452235222966
84,7,6.623226129708129
85,33,200.3277849182422
86,28,166.4000614366917
87,40,279.46163373896565
88,35,236.3425674547605
89,67,438.71635101213144
90,46,311.0444794471737
91,18,49.554323204833175
92,31,188.0083777140219
93,26,181.54497726818784
94,44,304.8453527817373
95,28,188.03752141384277
96,43,308.39703923216575
97,67,441.7288640290156
98,63,400.06739929737284
99,53,328.27406362350143
100,38,263.5067192720634
101,24,128.8660917043851
102,31,237.0353899887851
103,67,444.02300561555353
104,16,98.05619263868456
105,18,114.4088519501595
106,25,154.9462649107568
107,36,239.93098083623988
108,60,434.7328444185112
109,59,355.61230075596194
110,70,427.26096979611765
111,19,118.64397070541648
112,16,101.91035856921664
113,37,173.40502061216804
114,71,454.69689811509454
115,40,276.12143137686854
116,68,432.2029534347207
117,15,69.94831045346807
118,40,241.78804882277245
119,70,467.3122274607253
120,31,221.22179545534934
121,25,126.43389819629795
122,42,233.34855296008124
123,12,59.135520586826985
124,30,205.6913530914823
125,65,458.0704822375272
126,65,414.48387779743445
127,27,168.88953116644458
128,59,437.66667337096686
129,75,519.7286571439502
130,49,306.6973005466701
131,60,384.23563439362493
132,66,407.59835778988514
133,36,232.22502560764502
134,44,321.2129954338722
135,29,200.42108733725541
